goos: linux
goarch: amd64
pkg: github.com/molulan/bsc-bls/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500H
BenchmarkMultisigVerification/individual_verification_of_1_signatures-2         	     427	   3289606 ns/op	    3201 B/op	      38 allocs/op
BenchmarkMultisigVerification/individual_verification_of_1_signatures-2         	     187	   5852501 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/individual_verification_of_1_signatures-2         	     424	   3788455 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/individual_verification_of_1_signatures-2         	     232	   5232108 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/individual_verification_of_1_signatures-2         	     379	   5155838 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_1_signatures-2          	     302	   4144835 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_1_signatures-2          	     482	   3234061 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_1_signatures-2          	     404	   2685305 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_1_signatures-2          	     349	   3475130 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_1_signatures-2          	     366	   3514091 ns/op	    3200 B/op	      38 allocs/op
BenchmarkMultisigVerification/individual_verification_of_5_signatures-2         	      67	  25031958 ns/op	   16000 B/op	     190 allocs/op
BenchmarkMultisigVerification/individual_verification_of_5_signatures-2         	      99	  24034177 ns/op	   16001 B/op	     190 allocs/op
BenchmarkMultisigVerification/individual_verification_of_5_signatures-2         	      70	  18407198 ns/op	   16002 B/op	     190 allocs/op
BenchmarkMultisigVerification/individual_verification_of_5_signatures-2         	      45	  23765970 ns/op	   16000 B/op	     190 allocs/op
BenchmarkMultisigVerification/individual_verification_of_5_signatures-2         	      54	  21046660 ns/op	   16000 B/op	     190 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_5_signatures-2          	      91	  15339251 ns/op	   13697 B/op	     186 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_5_signatures-2          	      73	  16992512 ns/op	   13696 B/op	     186 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_5_signatures-2          	     104	  10833806 ns/op	   13696 B/op	     186 allocs/op
