goos: linux
goarch: amd64
pkg: github.com/molulan/bsc-bls/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500H
BenchmarkSinglesigVerification/singlesig_verification_of_1_signatures-2         	     426	   2875663 ns/op	    2417 B/op	      30 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_1_signatures-2         	     394	   3275235 ns/op	    2416 B/op	      30 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_1_signatures-2         	     376	   4308007 ns/op	    2417 B/op	      30 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_1_signatures-2         	     211	   5549830 ns/op	    2417 B/op	      30 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_1_signatures-2         	     368	   4509399 ns/op	    2416 B/op	      30 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_1_signatures-2          	     231	   5208725 ns/op	    3200 B/op	      38 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_1_signatures-2          	     406	   3083067 ns/op	    3200 B/op	      38 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_1_signatures-2          	     206	   5379261 ns/op	    3200 B/op	      38 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_1_signatures-2          	     399	   3680646 ns/op	    3200 B/op	      38 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_1_signatures-2          	     356	   2996881 ns/op	    3200 B/op	      38 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_1_signatures-2         	     382	   3722105 ns/op	    3200 B/op	      38 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_1_signatures-2         	     412	   3115343 ns/op	    3200 B/op	      38 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_1_signatures-2         	     266	   4533182 ns/op	    3201 B/op	      38 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_1_signatures-2         	     146	   7611998 ns/op	    3201 B/op	      38 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_1_signatures-2         	     206	   6275544 ns/op	    3200 B/op	      38 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_5_signatures-2         	      40	  27201900 ns/op	   12084 B/op	     150 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_5_signatures-2         	      44	  24818637 ns/op	   12084 B/op	     150 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_5_signatures-2         	      38	  30581620 ns/op	   12084 B/op	     150 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_5_signatures-2         	      43	  28168447 ns/op	   12084 B/op	     150 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_5_signatures-2         	      36	  31462833 ns/op	   12084 B/op	     150 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_5_signatures-2          	      54	  20907297 ns/op	   16003 B/op	     190 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_5_signatures-2          	      99	  14839085 ns/op	   16001 B/op	     190 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_5_signatures-2          	      72	  18780893 ns/op	   16002 B/op	     190 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_5_signatures-2          	      72	  23172990 ns/op	   16002 B/op	     190 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_5_signatures-2          	      98	  20600436 ns/op	   16001 B/op	     190 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_5_signatures-2         	     129	   9232924 ns/op	   13696 B/op	     186 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_5_signatures-2         	     129	   8999010 ns/op	   13696 B/op	     186 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_5_signatures-2         	     130	   9942798 ns/op	   13696 B/op	     186 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_5_signatures-2         	      69	  16912258 ns/op	   13698 B/op	     186 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_5_signatures-2         	      62	  19010155 ns/op	   13698 B/op	     186 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_10_signatures-2        	      19	  55834196 ns/op	   24160 B/op	     300 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_10_signatures-2        	      48	  29502215 ns/op	   24160 B/op	     300 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_10_signatures-2        	      49	  32337437 ns/op	   24163 B/op	     300 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_10_signatures-2        	      39	  29107089 ns/op	   24160 B/op	     300 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_10_signatures-2        	      49	  27708613 ns/op	   24160 B/op	     300 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_10_signatures-2         	      49	  39184523 ns/op	   32006 B/op	     380 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_10_signatures-2         	      36	  35083723 ns/op	   32004 B/op	     380 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_10_signatures-2         	      36	  51873096 ns/op	   32000 B/op	     380 allocs/op
